Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,Peer_Influence,Physical_Activity,Learning_Disabilities,Gender,Exam_Score,School_Type_Public,Parental_Education_Level_High School,Parental_Education_Level_Postgraduate,Distance_from_Home_Moderate,Distance_from_Home_Near,Scholarship_Score,Grant_Eligible,Grant_Percent,Grant_Amount
17,97,1.0,2.0,1,6,87,0.0,1,2,0.0,2.0,1.0,2,0,1,71,0.0,1.0,0.0,0.0,1.0,75.73073516386182,1,80,31200000
21,83,1.0,1.0,1,8,97,0.0,1,2,1.0,1.0,2.0,4,0,1,70,1.0,1.0,0.0,0.0,1.0,70.06200177147917,1,75,29250000
9,82,1.0,1.0,1,8,72,1.0,1,2,1.0,1.0,2.0,3,0,1,66,0.0,0.0,1.0,0.0,1.0,66.87333923826395,0,0,0
10,78,1.0,2.0,1,8,74,1.0,1,1,0.0,1.0,1.0,4,0,1,65,0.0,0.0,1.0,0.0,1.0,70.50487156775908,1,75,29250000
17,68,1.0,1.0,0,8,70,1.0,1,2,1.0,1.0,2.0,4,0,0,64,0.0,1.0,0.0,0.0,1.0,66.87333923826395,0,0,0
14,60,1.0,0.0,1,10,65,0.0,1,0,2.0,1.0,2.0,3,0,1,60,0.0,0.0,0.0,0.0,1.0,53.14437555358724,0,0,0
22,70,0.0,1.0,1,6,82,1.0,1,1,0.0,2.0,1.0,3,0,0,65,1.0,1.0,0.0,0.0,1.0,69.97342781222319,0,0,0
15,80,1.0,1.0,1,9,91,0.0,1,3,0.0,1.0,2.0,2,0,0,67,1.0,0.0,0.0,1.0,0.0,69.70770593445525,0,0,0
12,75,1.0,2.0,1,7,58,1.0,1,3,1.0,1.0,2.0,4,0,1,66,0.0,0.0,0.0,0.0,1.0,66.96191319751992,0,0,0
29,78,1.0,1.0,0,5,99,2.0,1,0,2.0,1.0,0.0,1,0,0,69,1.0,1.0,0.0,1.0,0.0,76.61647475642161,1,80,31200000
19,99,1.0,2.0,0,6,84,1.0,1,1,1.0,2.0,1.0,3,0,1,72,1.0,1.0,0.0,0.0,1.0,77.5022143489814,1,80,31200000
20,74,1.0,2.0,0,8,89,0.0,1,1,1.0,1.0,0.0,2,0,0,66,1.0,0.0,0.0,1.0,0.0,65.89902568644818,0,0,0
11,78,2.0,1.0,1,8,100,2.0,1,1,0.0,1.0,1.0,3,0,1,66,1.0,1.0,0.0,1.0,0.0,80.33658104517272,1,85,33150000
17,65,0.0,2.0,1,5,75,1.0,1,2,0.0,1.0,2.0,3,0,0,63,1.0,1.0,0.0,0.0,1.0,65.8104517271922,0,0,0
21,62,2.0,0.0,1,6,54,2.0,1,0,2.0,2.0,2.0,3,0,1,64,1.0,0.0,1.0,0.0,0.0,72.01062887511071,1,75,29250000
13,91,0.0,1.0,0,6,90,1.0,1,1,2.0,1.0,0.0,2,1,0,65,1.0,1.0,0.0,1.0,0.0,60.8503100088574,0,0,0
22,83,2.0,2.0,1,6,94,1.0,1,0,2.0,1.0,1.0,2,0,1,71,1.0,0.0,0.0,1.0,0.0,75.46501328609388,1,80,31200000
16,90,1.0,1.0,0,4,58,1.0,1,1,0.0,1.0,1.0,3,0,0,66,1.0,1.0,0.0,1.0,0.0,75.81930912311779,1,80,31200000
18,66,2.0,2.0,0,4,51,0.0,1,2,0.0,1.0,1.0,2,0,1,64,0.0,0.0,0.0,0.0,1.0,71.39061116031885,1,75,29250000
16,83,0.0,1.0,0,6,57,1.0,1,0,2.0,0.0,2.0,4,1,0,63,1.0,1.0,0.0,0.0,1.0,59.69884853852967,0,0,0
31,70,1.0,2.0,1,7,66,1.0,1,1,2.0,1.0,0.0,3,0,1,69,1.0,0.0,0.0,0.0,1.0,71.6563330380868,1,75,29250000
20,69,1.0,1.0,1,8,96,1.0,1,2,1.0,2.0,2.0,3,0,1,67,1.0,1.0,0.0,0.0,1.0,69.97342781222319,0,0,0
14,60,2.0,1.0,0,5,50,1.0,1,2,1.0,1.0,1.0,3,0,0,61,1.0,0.0,0.0,0.0,1.0,66.96191319751992,0,0,0
25,65,2.0,1.0,0,5,90,1.0,1,2,1.0,1.0,2.0,3,0,0,68,1.0,0.0,0.0,1.0,0.0,76.43932683790965,1,80,31200000
13,72,0.0,1.0,0,6,93,0.0,1,1,0.0,1.0,0.0,3,0,1,61,1.0,1.0,0.0,0.0,1.0,59.78742249778565,0,0,0
21,65,1.0,0.0,1,7,91,0.0,1,2,1.0,2.0,2.0,3,0,0,64,1.0,1.0,0.0,0.0,0.0,63.684676705048716,0,0,0
8,99,1.0,1.0,0,9,54,0.0,1,2,0.0,1.0,1.0,5,0,0,67,1.0,0.0,1.0,0.0,1.0,69.97342781222319,0,0,0
12,72,0.0,1.0,1,8,84,1.0,1,1,0.0,1.0,2.0,5,0,0,63,1.0,1.0,0.0,0.0,1.0,64.83613817537642,0,0,0
21,65,0.0,1.0,1,6,98,0.0,1,1,1.0,2.0,0.0,4,0,1,64,1.0,1.0,0.0,0.0,1.0,59.25597874224978,0,0,0
24,68,2.0,1.0,0,8,56,0.0,1,3,2.0,2.0,1.0,1,0,1,67,1.0,0.0,0.0,0.0,1.0,67.13906111603188,0,0,0
21,84,1.0,1.0,1,6,52,0.0,1,1,1.0,2.0,1.0,2,1,0,65,1.0,0.0,0.0,0.0,0.0,67.58193091231178,0,0,0
19,63,0.0,2.0,0,7,94,1.0,1,1,1.0,1.0,2.0,3,0,1,64,0.0,1.0,0.0,1.0,0.0,62.44464127546501,0,0,0
18,94,1.0,2.0,1,7,82,1.0,1,3,1.0,1.0,0.0,2,1,1,70,0.0,0.0,0.0,0.0,1.0,75.11071744906997,1,80,31200000
11,98,1.0,1.0,1,9,82,0.0,1,1,1.0,1.0,2.0,3,0,1,68,0.0,0.0,1.0,0.0,0.0,67.22763507528786,0,0,0
16,70,1.0,1.0,1,8,98,1.0,1,2,1.0,1.0,2.0,3,0,1,65,1.0,1.0,0.0,1.0,0.0,67.31620903454385,0,0,0
17,78,1.0,1.0,1,6,88,1.0,1,1,1.0,2.0,2.0,3,0,0,68,0.0,0.0,0.0,0.0,1.0,70.77059344552701,1,75,29250000
26,61,1.0,0.0,1,6,70,1.0,1,2,0.0,1.0,2.0,3,0,0,64,1.0,1.0,0.0,1.0,0.0,74.04782993799822,1,75,29250000
22,86,0.0,1.0,1,7,72,0.0,1,3,0.0,2.0,2.0,2,0,1,68,1.0,1.0,0.0,1.0,0.0,69.97342781222319,0,0,0
9,77,1.0,1.0,0,5,57,1.0,1,2,1.0,2.0,1.0,3,0,1,63,1.0,1.0,0.0,0.0,1.0,64.39326837909654,0,0,0
22,71,0.0,1.0,1,7,65,0.0,1,1,1.0,0.0,2.0,4,0,1,64,1.0,0.0,0.0,1.0,0.0,60.76173604960141,0,0,0
18,68,2.0,1.0,0,7,72,1.0,1,0,1.0,1.0,1.0,3,0,1,64,1.0,0.0,0.0,0.0,1.0,71.74490699734277,1,75,29250000
16,86,0.0,1.0,1,8,63,1.0,1,2,1.0,1.0,2.0,4,0,1,67,1.0,1.0,0.0,0.0,1.0,66.78476527900796,0,0,0
24,77,2.0,0.0,0,8,96,1.0,1,0,1.0,1.0,1.0,3,0,0,67,1.0,1.0,0.0,0.0,1.0,77.59078830823736,1,80,31200000
26,67,1.0,2.0,1,7,51,0.0,1,2,2.0,2.0,1.0,4,1,0,66,0.0,0.0,1.0,0.0,0.0,62.8875110717449,0,0,0
26,88,1.0,2.0,1,5,79,1.0,1,1,0.0,2.0,2.0,4,0,1,72,0.0,0.0,0.0,1.0,0.0,83.08237378210805,1,85,33150000
15,83,1.0,2.0,0,5,89,0.0,0,1,1.0,2.0,1.0,2,1,0,65,1.0,1.0,0.0,0.0,1.0,64.74756421612045,0,0,0
18,94,1.0,1.0,1,6,87,2.0,1,1,1.0,1.0,2.0,4,0,1,71,1.0,1.0,0.0,0.0,1.0,80.07085916740479,1,85,33150000
22,65,2.0,0.0,0,8,82,1.0,1,2,1.0,2.0,2.0,1,0,0,66,1.0,0.0,1.0,0.0,1.0,74.04782993799822,1,75,29250000
26,91,1.0,0.0,1,8,71,1.0,1,0,0.0,1.0,1.0,3,0,1,68,0.0,1.0,0.0,1.0,0.0,81.48804251550044,1,85,33150000
17,87,1.0,1.0,0,7,96,1.0,1,1,2.0,1.0,0.0,5,0,0,70,1.0,0.0,1.0,0.0,1.0,68.99911426040745,0,0,0
19,65,1.0,1.0,1,10,66,0.0,1,0,0.0,1.0,2.0,3,0,1,62,1.0,1.0,0.0,1.0,0.0,66.16474756421611,0,0,0
13,88,0.0,2.0,1,9,88,2.0,1,2,0.0,2.0,0.0,4,0,1,68,0.0,0.0,1.0,0.0,0.0,75.19929140832595,1,80,31200000
13,78,1.0,2.0,1,9,96,2.0,1,2,0.0,1.0,1.0,3,0,1,67,1.0,0.0,0.0,1.0,0.0,77.32506643046943,1,80,31200000
25,98,0.0,2.0,1,8,56,1.0,0,0,1.0,2.0,1.0,3,0,1,71,0.0,0.0,1.0,0.0,1.0,75.022143489814,1,80,31200000
28,66,1.0,2.0,1,8,97,1.0,1,0,1.0,1.0,1.0,2,0,1,68,1.0,1.0,0.0,0.0,1.0,73.51638618246236,1,75,29250000
20,86,1.0,1.0,1,8,89,1.0,1,1,0.0,1.0,0.0,3,0,1,69,1.0,0.0,1.0,0.0,1.0,78.47652790079715,1,80,31200000
26,75,0.0,2.0,1,4,81,2.0,1,3,1.0,2.0,2.0,2,0,1,70,0.0,1.0,0.0,1.0,0.0,75.28786536758193,1,80,31200000
22,98,1.0,2.0,0,5,69,0.0,0,1,0.0,2.0,0.0,4,0,0,69,1.0,1.0,0.0,1.0,0.0,77.0593445527015,1,80,31200000
16,73,1.0,1.0,0,7,95,1.0,1,1,0.0,1.0,0.0,4,0,1,65,1.0,0.0,0.0,0.0,1.0,72.27635075287864,1,75,29250000
22,98,1.0,0.0,1,7,52,1.0,0,3,1.0,1.0,2.0,3,0,0,70,1.0,0.0,0.0,0.0,1.0,77.59078830823736,1,80,31200000
29,96,1.0,0.0,1,7,72,1.0,1,1,0.0,1.0,2.0,3,0,1,71,1.0,1.0,0.0,1.0,0.0,85.29672276350753,1,90,35100000
20,71,1.0,1.0,1,7,88,1.0,1,1,0.0,0.0,1.0,4,0,0,65,1.0,0.0,0.0,0.0,1.0,73.69353410097432,1,75,29250000
29,92,0.0,1.0,0,4,91,1.0,1,2,1.0,1.0,0.0,1,0,0,72,1.0,0.0,1.0,0.0,1.0,76.26217891939768,1,80,31200000
4,100,2.0,2.0,1,8,60,2.0,1,0,1.0,2.0,2.0,4,0,1,69,0.0,0.0,0.0,1.0,0.0,78.29937998228522,1,80,31200000
25,70,1.0,1.0,0,7,52,1.0,1,1,1.0,1.0,2.0,3,0,0,66,1.0,0.0,1.0,0.0,1.0,71.83348095659875,1,75,29250000
21,77,0.0,1.0,1,7,90,1.0,1,4,1.0,1.0,1.0,3,0,1,68,0.0,0.0,1.0,1.0,0.0,67.93622674933569,0,0,0
18,81,2.0,0.0,1,8,71,1.0,1,0,1.0,1.0,1.0,3,0,0,65,1.0,1.0,0.0,1.0,0.0,74.5792736935341,1,75,29250000
21,72,1.0,1.0,1,5,57,1.0,1,1,2.0,1.0,1.0,5,1,1,64,1.0,0.0,0.0,1.0,0.0,64.92471213463241,0,0,0
8,61,1.0,1.0,1,7,54,1.0,1,1,2.0,1.0,2.0,3,0,1,60,1.0,0.0,0.0,0.0,1.0,55.09300265721878,0,0,0
19,69,1.0,2.0,1,7,82,2.0,1,1,0.0,1.0,0.0,2,0,1,65,1.0,1.0,0.0,0.0,1.0,77.32506643046943,1,80,31200000
22,71,2.0,1.0,0,6,79,2.0,1,1,0.0,0.0,2.0,3,0,1,66,1.0,1.0,0.0,0.0,1.0,83.96811337466785,1,85,33150000
29,78,2.0,2.0,1,4,93,0.0,1,5,1.0,2.0,1.0,3,0,1,74,1.0,0.0,0.0,0.0,1.0,79.27369353410097,1,80,31200000
17,67,1.0,1.0,1,5,52,2.0,1,2,1.0,1.0,0.0,3,0,0,62,0.0,1.0,0.0,0.0,0.0,70.06200177147917,1,75,29250000
15,95,1.0,1.0,0,7,93,1.0,1,2,0.0,1.0,2.0,4,0,1,70,1.0,0.0,0.0,1.0,0.0,78.38795394154118,1,80,31200000
17,88,1.0,2.0,1,7,94,0.0,1,0,1.0,1.0,1.0,3,0,1,69,1.0,1.0,0.0,0.0,1.0,68.64481842338353,0,0,0
25,63,1.0,2.0,1,7,72,1.0,1,3,1.0,2.0,0.0,4,0,1,67,0.0,0.0,0.0,0.0,0.0,71.12488928255092,1,75,29250000
22,86,0.0,0.0,0,6,54,1.0,1,2,1.0,1.0,1.0,0,0,1,64,1.0,1.0,0.0,1.0,0.0,67.8476527900797,0,0,0
17,86,1.0,2.0,0,5,97,2.0,1,3,2.0,1.0,1.0,3,0,1,71,1.0,0.0,0.0,0.0,1.0,73.78210806023029,1,75,29250000
23,98,1.0,0.0,1,7,54,0.0,1,0,1.0,1.0,0.0,3,0,0,68,1.0,0.0,0.0,0.0,1.0,72.54207263064659,1,75,29250000
21,60,2.0,1.0,0,7,80,1.0,1,0,1.0,2.0,1.0,4,1,1,64,1.0,0.0,0.0,0.0,1.0,71.6563330380868,1,75,29250000
26,70,1.0,0.0,1,8,75,1.0,1,1,1.0,0.0,1.0,4,1,0,63,0.0,1.0,0.0,0.0,0.0,70.68201948627103,1,75,29250000
16,97,1.0,1.0,1,6,92,0.0,1,0,2.0,1.0,2.0,4,0,1,71,0.0,0.0,0.0,0.0,1.0,66.43046944198406,0,0,0
18,97,2.0,1.0,1,4,75,0.0,1,0,0.0,1.0,2.0,3,0,1,69,1.0,1.0,0.0,1.0,0.0,79.5394154118689,1,80,31200000
18,89,2.0,1.0,1,4,73,1.0,1,3,2.0,1.0,2.0,2,0,0,100,0.0,0.0,0.0,0.0,1.0,90.16829052258635,1,95,37050000
11,91,1.0,1.0,0,6,94,1.0,1,3,1.0,1.0,1.0,3,0,1,68,1.0,0.0,0.0,1.0,0.0,70.4162976085031,1,75,29250000
22,64,0.0,1.0,0,7,98,0.0,0,1,1.0,1.0,0.0,3,0,1,62,1.0,1.0,0.0,0.0,1.0,58.45881310894596,0,0,0
22,81,1.0,1.0,1,7,77,0.0,1,2,1.0,1.0,2.0,3,0,0,68,1.0,0.0,1.0,0.0,0.0,69.0876882196634,0,0,0
20,69,2.0,2.0,1,6,73,1.0,1,2,0.0,1.0,2.0,3,0,1,66,0.0,1.0,0.0,0.0,0.0,78.29937998228522,1,80,31200000
19,67,0.0,1.0,0,5,92,2.0,1,0,1.0,1.0,2.0,3,0,1,64,1.0,0.0,0.0,0.0,1.0,67.58193091231178,0,0,0
12,92,1.0,1.0,0,4,92,2.0,1,2,1.0,2.0,1.0,3,1,1,67,1.0,1.0,0.0,1.0,0.0,74.933569530558,1,75,29250000
17,65,1.0,2.0,1,8,66,1.0,1,1,2.0,2.0,1.0,4,1,0,65,1.0,0.0,1.0,1.0,0.0,62.44464127546501,0,0,0
18,79,1.0,1.0,1,7,79,1.0,1,0,0.0,2.0,1.0,3,0,1,65,0.0,0.0,0.0,0.0,0.0,74.22497785651018,1,75,29250000
15,98,2.0,1.0,0,6,58,2.0,1,0,0.0,2.0,2.0,3,0,1,69,1.0,0.0,0.0,0.0,1.0,87.24534986713905,1,90,35100000
19,67,1.0,1.0,0,5,82,2.0,1,1,0.0,0.0,0.0,3,0,1,63,0.0,1.0,0.0,0.0,1.0,75.90788308237377,1,80,31200000
22,99,1.0,0.0,1,6,92,0.0,1,3,1.0,1.0,0.0,4,0,1,72,1.0,0.0,1.0,1.0,0.0,74.40212577502214,1,75,29250000
31,100,1.0,1.0,0,7,59,1.0,1,2,2.0,2.0,2.0,5,0,1,76,1.0,0.0,1.0,1.0,0.0,80.69087688219663,1,85,33150000
21,82,1.0,2.0,1,7,66,2.0,1,3,0.0,1.0,2.0,3,1,0,69,1.0,0.0,0.0,0.0,1.0,82.63950398582816,1,85,33150000
22,67,1.0,1.0,1,7,72,2.0,1,3,0.0,2.0,2.0,2,0,0,67,1.0,0.0,1.0,1.0,0.0,79.36226749335694,1,80,31200000
20,73,2.0,1.0,1,9,92,1.0,1,2,1.0,2.0,2.0,3,0,1,69,1.0,0.0,0.0,0.0,1.0,76.17360496014172,1,80,31200000
8,77,2.0,1.0,1,6,87,1.0,1,0,0.0,1.0,1.0,2,0,1,63,1.0,1.0,0.0,1.0,0.0,72.80779450841452,1,75,29250000
20,72,1.0,1.0,0,9,66,1.0,1,3,0.0,2.0,2.0,3,0,1,67,0.0,0.0,1.0,0.0,1.0,74.933569530558,1,75,29250000
20,71,0.0,2.0,1,7,62,2.0,1,2,1.0,1.0,0.0,5,0,1,66,1.0,0.0,0.0,0.0,1.0,69.79627989371126,0,0,0
35,99,2.0,2.0,1,7,85,0.0,1,2,1.0,2.0,1.0,2,0,0,79,0.0,0.0,1.0,0.0,1.0,88.3082373782108,1,90,35100000
19,66,1.0,1.0,0,8,74,1.0,1,1,2.0,1.0,1.0,3,0,0,64,1.0,1.0,0.0,0.0,1.0,62.97608503100087,0,0,0
22,89,2.0,2.0,1,6,80,1.0,1,1,2.0,2.0,2.0,3,0,0,73,1.0,1.0,0.0,0.0,1.0,77.59078830823736,1,80,31200000
20,60,0.0,2.0,0,7,82,2.0,1,2,0.0,2.0,2.0,4,1,1,63,1.0,1.0,0.0,0.0,1.0,70.68201948627103,1,75,29250000
13,84,1.0,1.0,0,5,78,1.0,1,1,0.0,2.0,2.0,2,0,1,65,1.0,1.0,0.0,0.0,1.0,72.8963684676705,1,75,29250000
27,97,0.0,2.0,1,8,81,1.0,1,0,2.0,1.0,2.0,5,0,0,73,1.0,1.0,0.0,0.0,1.0,72.36492471213462,1,75,29250000
25,72,2.0,2.0,1,8,94,0.0,1,2,0.0,1.0,2.0,4,0,0,70,0.0,0.0,0.0,1.0,0.0,78.7422497785651,1,80,31200000
25,67,2.0,1.0,0,9,93,2.0,1,2,0.0,2.0,2.0,3,1,0,68,1.0,1.0,0.0,0.0,1.0,85.65101860053143,1,90,35100000
15,86,1.0,1.0,1,7,57,1.0,1,1,1.0,1.0,0.0,3,0,1,65,1.0,0.0,0.0,0.0,1.0,69.70770593445526,0,0,0
28,89,0.0,2.0,1,9,79,2.0,1,0,0.0,1.0,2.0,1,0,0,71,0.0,0.0,0.0,1.0,0.0,83.61381753764392,1,85,33150000
12,88,0.0,1.0,0,6,72,0.0,1,2,1.0,1.0,2.0,2,0,1,64,1.0,0.0,0.0,0.0,0.0,59.34455270150576,0,0,0
24,73,1.0,2.0,1,8,64,1.0,1,4,2.0,1.0,1.0,3,1,1,68,0.0,0.0,0.0,1.0,0.0,68.55624446412754,0,0,0
33,70,1.0,1.0,1,6,82,0.0,1,1,0.0,2.0,1.0,4,0,1,69,1.0,0.0,0.0,0.0,1.0,76.97077059344552,1,80,31200000
14,98,1.0,1.0,0,7,76,1.0,1,0,1.0,2.0,2.0,4,0,0,69,0.0,0.0,0.0,1.0,0.0,73.51638618246236,1,75,29250000
17,97,1.0,1.0,0,8,89,1.0,1,1,0.0,1.0,1.0,4,0,1,69,1.0,1.0,0.0,0.0,0.0,79.09654561558901,1,80,31200000
21,78,1.0,1.0,1,10,55,1.0,1,1,2.0,0.0,2.0,2,0,1,67,0.0,0.0,0.0,0.0,1.0,67.58193091231178,0,0,0
17,94,0.0,1.0,1,8,65,0.0,1,4,1.0,1.0,1.0,6,0,0,68,1.0,1.0,0.0,0.0,0.0,64.74756421612045,0,0,0
11,78,1.0,2.0,1,8,51,1.0,1,2,0.0,1.0,1.0,3,0,1,64,1.0,0.0,1.0,0.0,1.0,70.4162976085031,1,75,29250000
20,77,1.0,1.0,0,6,87,0.0,1,0,0.0,2.0,2.0,4,0,0,66,1.0,1.0,0.0,0.0,1.0,70.85916740478298,1,75,29250000
14,66,2.0,0.0,0,7,96,1.0,1,3,0.0,2.0,0.0,3,0,1,63,1.0,1.0,0.0,0.0,1.0,73.51638618246236,1,75,29250000
23,77,1.0,1.0,1,7,79,1.0,1,0,0.0,2.0,1.0,2,0,1,66,1.0,1.0,0.0,1.0,0.0,76.61647475642161,1,80,31200000
14,81,1.0,1.0,0,9,81,1.0,1,1,0.0,2.0,0.0,3,0,0,66,0.0,0.0,1.0,0.0,1.0,73.33923826395039,1,75,29250000
29,61,1.0,2.0,1,7,52,0.0,1,3,0.0,1.0,2.0,3,0,0,67,0.0,0.0,0.0,0.0,1.0,72.54207263064659,1,75,29250000
15,78,2.0,2.0,0,9,75,0.0,1,1,0.0,1.0,0.0,1,0,1,65,1.0,1.0,0.0,0.0,1.0,72.71922054915854,1,75,29250000
18,91,0.0,1.0,1,5,76,1.0,1,1,1.0,1.0,1.0,3,0,0,68,1.0,1.0,0.0,0.0,1.0,69.0876882196634,0,0,0
25,87,1.0,0.0,0,9,52,2.0,1,1,0.0,2.0,2.0,2,0,1,68,0.0,1.0,0.0,0.0,1.0,84.76527900797166,1,85,33150000
13,85,2.0,1.0,0,6,89,1.0,1,0,2.0,1.0,1.0,1,1,1,65,0.0,1.0,0.0,0.0,1.0,68.64481842338353,0,0,0
21,96,1.0,1.0,0,8,64,2.0,1,2,1.0,2.0,1.0,0,0,1,71,1.0,0.0,0.0,0.0,1.0,81.75376439326838,1,85,33150000
28,61,1.0,2.0,0,6,86,2.0,1,1,0.0,1.0,0.0,3,1,1,65,0.0,0.0,1.0,0.0,0.0,79.89371124889283,1,80,31200000
10,82,1.0,0.0,0,8,70,1.0,1,3,0.0,2.0,2.0,1,1,0,64,1.0,0.0,1.0,0.0,1.0,70.68201948627103,1,75,29250000
21,91,2.0,1.0,0,6,100,1.0,1,0,2.0,1.0,1.0,2,0,0,72,0.0,0.0,1.0,0.0,1.0,76.97077059344551,1,80,31200000
22,82,1.0,1.0,0,9,61,1.0,1,2,0.0,1.0,0.0,2,1,0,65,1.0,1.0,0.0,0.0,1.0,76.52790079716564,1,80,31200000
25,73,1.0,2.0,0,8,53,2.0,0,0,0.0,2.0,0.0,5,0,0,66,0.0,0.0,1.0,0.0,1.0,81.22232063773251,1,85,33150000
13,65,0.0,2.0,0,6,99,1.0,1,0,0.0,1.0,0.0,4,0,1,61,0.0,1.0,0.0,0.0,1.0,62.97608503100087,0,0,0
12,96,0.0,2.0,1,8,62,1.0,1,2,1.0,2.0,0.0,3,0,0,68,1.0,0.0,0.0,0.0,1.0,67.31620903454385,0,0,0
23,79,2.0,2.0,1,8,82,0.0,1,3,1.0,1.0,0.0,3,1,0,69,1.0,0.0,1.0,1.0,0.0,74.13640389725421,1,75,29250000
22,95,1.0,2.0,1,6,69,1.0,1,1,0.0,1.0,2.0,3,0,0,72,1.0,0.0,0.0,0.0,1.0,82.55093002657217,1,85,33150000
22,83,1.0,2.0,1,5,82,1.0,1,2,0.0,2.0,2.0,3,0,0,71,1.0,0.0,1.0,0.0,1.0,79.89371124889283,1,80,31200000
22,87,2.0,2.0,0,5,80,0.0,1,2,0.0,2.0,0.0,3,0,0,70,1.0,1.0,0.0,0.0,1.0,80.07085916740479,1,85,33150000
16,92,1.0,2.0,1,5,85,0.0,1,1,0.0,1.0,1.0,2,0,1,68,1.0,1.0,0.0,1.0,0.0,72.80779450841453,1,75,29250000
21,86,0.0,1.0,1,5,51,1.0,1,2,0.0,2.0,2.0,2,0,0,67,1.0,1.0,0.0,1.0,0.0,73.42781222320637,1,75,29250000
22,76,1.0,1.0,1,8,92,1.0,1,1,0.0,2.0,1.0,4,0,0,68,1.0,1.0,0.0,0.0,1.0,77.0593445527015,1,80,31200000
16,81,1.0,1.0,1,8,74,1.0,1,3,1.0,1.0,2.0,2,0,0,68,1.0,0.0,1.0,0.0,1.0,70.85916740478298,1,75,29250000
31,92,1.0,1.0,1,4,76,1.0,1,2,1.0,2.0,2.0,4,1,1,72,1.0,1.0,0.0,0.0,0.0,81.57661647475642,1,85,33150000
23,75,0.0,2.0,0,6,71,0.0,1,0,1.0,1.0,1.0,2,0,1,65,1.0,0.0,0.0,0.0,1.0,62.44464127546501,0,0,0
13,76,1.0,2.0,0,5,99,0.0,1,2,1.0,1.0,2.0,4,0,0,66,0.0,1.0,0.0,0.0,1.0,63.15323294951285,0,0,0
24,64,1.0,1.0,1,8,90,2.0,1,0,0.0,2.0,0.0,3,0,1,65,1.0,1.0,0.0,0.0,1.0,78.65367581930911,1,80,31200000
14,97,1.0,1.0,1,6,66,1.0,1,2,1.0,1.0,0.0,3,1,0,67,1.0,0.0,0.0,0.0,1.0,72.27635075287864,1,75,29250000
25,64,1.0,2.0,0,5,89,0.0,1,2,1.0,1.0,1.0,4,0,1,66,1.0,0.0,0.0,0.0,0.0,66.34189548272808,0,0,0
27,86,1.0,1.0,0,7,72,0.0,1,1,1.0,2.0,2.0,4,0,1,69,1.0,1.0,0.0,0.0,0.0,72.71922054915854,1,75,29250000
15,77,1.0,1.0,1,8,94,0.0,1,0,2.0,2.0,2.0,3,0,1,66,1.0,0.0,0.0,1.0,0.0,59.78742249778565,0,0,0
26,76,1.0,2.0,1,6,52,1.0,1,4,2.0,0.0,1.0,3,0,1,69,1.0,1.0,0.0,0.0,1.0,70.50487156775908,1,75,29250000
22,87,2.0,0.0,1,7,68,1.0,0,0,0.0,1.0,1.0,2,0,1,67,1.0,1.0,0.0,0.0,1.0,82.90522586359609,1,85,33150000
